Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Online Data Analyst - United States,Employer Provided Salary:$15 Per Hour,"Company Info:
We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text, images, audio, video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products, to better search results, to expanded speech recognition, to more human-like bot interactions and so much more.
Position Open:
The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world.",3.8,"TELUS International AI Inc.
3.8","Austin, TX",10000+ Employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,$48K - $84K (Glassdoor est.),"About Cataldo
Since 1977, Cataldo Ambulance Service, Inc. has continually distinguished itself as a leader in providing routine and emergency medical services. As the needs of the community and the patient change, we continue to introduce innovative programs to ensure the highest level of care is available to everyone in our service area. Cataldo is the largest private EMS provider in Massachusetts, boasting a diverse portfolio of municipal-based and facility-based contracts. In addition to topping 50,000 911 transports annually, specialty contracts include some of the top medical facilities in the state, Fenway Park, Warrior Arena, and the TD Garden.
Role Summary and Job Responsibilities
Serve as the project lead for designing, developing, implementing and deploying a data warehouse.",2.8,"Cataldo Ambulance
2.8","Somerville, MA",201 to 500 Employees,1977,Company - Private,Transportation Management,Transportation & Logistics,$50 to $100 million (USD)
MVP Data Analyst,$51K - $100K (Glassdoor est.),"Warren Averett Staffing and Recruiting is seeking an experienced Data Analyst to join a large client in the Houston area. Let’s chat if you are interested! Call or text Andrea Graham at 256.713.2685
Responsibilities
Reviews and organizes engineering documentation for natural gas pipeline as-built construction.
Data analyst must have the skill set to understand, analyze and document applicable technical records for transmission range pipe for specified locations along a pipeline system. Site understanding (compressor stations, meter stations, main line valve assemblies, etc.) is also a desired skill set but is not a primary consideration.
Performs comparative analysis of related records by clearly and concisely identifying potential data anomalies and resolving critical data element discrepancies.",4.1,"Warren Averett Staffing & Recruiting
4.1","Houston, TX",501 to 1000 Employees,1972,Company - Private,Accounting,Accounting & Legal,$100 to $500 million (USD)
Data Entry Analyst,$41K - $73K (Glassdoor est.),"Position Summary
The Data Entry Analyst will be responsible for item creation and item allocation throughout The Webster network. This person will manage the quality of data in our system by entering the most accurate item information and analyzing inconsistencies within the data to meet The Webster’s standards. They will be responsible for developing solutions to improve the accuracy of data, identify discrepancies in the system, and improve time to market. This position is in a fast-paced environment and the associate will be dealing with high volume of brands to manage and enter each season with the team. The associate will oversee the allocation of products to our different retail locations based on merchandising rules and sell-through. The ideal candidate is analytical, tech savvy, and proficient in ERP systems and excel
Essential Duties & Responsibilities",3.5,"The Webster
3.5","Miami Beach, FL",51 to 200 Employees,2009,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable
Senior Data Analyst,Employer Provided Salary:$80K - $105K,"About Us
The Aegis brand includes three unique companies – Aegis Premier Solutions, Aegis Processing Solutions and Aegis Premier Technologies – that have joined forces to provide our clients with an A-to-Z suite of services to help navigate through the various aspects of fundraising. Aegis offers an end-to-end solution from donation processing to the management of donor and campaign data. We are a group of passionate technology professionals who are committed to delivering best-in-class software solutions for the non-profit space. We care deeply about our clients’ needs and understand that the work we do has a direct impact on their ability to continue improving the lives of many different people and groups. We believe in a truly agile approach and expect our teams to self-organize to do the right thing quickly.
Aegis Premier Technologies with headquarters in Westminster, CO, brings creative solutions, powerful technology, and cost-effective products to the nonprofit industry.",-1,Aegis Premier Technologies,Remote,-1,-1,-1,-1,-1,-1
"Analyst I, Data Science",Employer Provided Salary:$82K - $134K,"Collaborate with business partners to develop predictive analytic solutions that enable data driven strategic decision making
Utilize data science techniques to manipulate large structured and unstructured data sets
Identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions
Gain industry knowledge, development of predictive analytics techniques, and obtaining experience in storytelling with data
Apply data science techniques
Gain confidence in skill application using analytics and data science techniques to manipulate large structured and unstructured data sets in order to generate insights to inform business decisions

Master's Degree
15",3.8,"Liberty Mutual Insurance
3.8","Boston, MA",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst - Advance Analytics,$55K - $104K (Glassdoor est.),"Job Title: Data Analyst - Advance Analytics
Location: Fremont, CA
Duration: 1 Year

Summary:
The Advanced Analytics team applies quantitative and algorithmic techniques across a broad spectrum of problem sets which inform planning and operations for Facebook's global offices and facilities. Our team works within a larger Analytics & Technology-focused group to deliver innovative insights and solutions for our partners. The ideal candidate has an analytic mindset; has expertise in analytical methods and data storytelling; applies a pragmatic approach to addressing business problems; and enjoys collaborating within a dynamic, global team.

Responsibilities







IND123",4.5,"Ursus
4.5","Fremont, CA",1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Technical Data Analyst / Manager,Employer Provided Salary:$65 - $70 Per Hour,"CMK Select, a specialized consulting firm focused exclusively in the Pharmaceutical sector, is immediately hiring a Technical Data Analyst/Manager.
The role is more of Technical Data Analyst/Manager but from an Operational perspective not a Strategic perspective. This resource needs to collect large quantities of data for the Biomarker Org in the TB size from various external vendors. These vendors could be PGDX or BGI. While this sounds simplistic transferring data in this size and quantity often causes data discrepancies. This resource needs to be the first set of eyes to verify and validate that the data transferred correct and complete and troubleshoot and errors in the data and make the corrections.
Candidate needs experience with Unix or Linux and Shell, Perl, or Python in a user/admin type capacity for working with the data. Cloud experience is also ideal. They don’t have to have Omicsoft but it’s a nice to have.",-1,CMK Select,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,$50K - $98K (Glassdoor est.),"Gridiron IT is seeking a Data Analyst local to the Washington DC area.
We are looking for an analyst to assist with analyzing survey and social advertising data, designing randomized control trials, helping manage data collection, and writing reports providing actionable insights from statistical analyses.
The individual should have strong statistical skills and be proficient in R. They should have experience in using advanced statistical analysis techniques, such as logistic regression, hierarchical linear models and experimental design and be familiar with experimental design. Additionally, they should be able to synthesize materials and communicate analysis results and methodology to colleagues and clients unfamiliar with statistics and surveys. The candidate should also be knowledgeable about data visualization. A familiarity with and interest in international relations or communicating with international audiences is preferred.",4.2,"Gridiron IT
4.2","Washington, DC",51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Technical Sr Data Analyst,$56K - $103K (Glassdoor est.),"Job Title: Sr Technical Data Analyst
Location: Remote
Duration: 3+ Mos

Summary

Under minimal direction, performs research and analysis. Works independently to improve data quality, data collection and analysis processes; develops data modeling methodologies and report design to meet diverse and changing business needs. Participates and leads strategic and tactical projects with VSP and Family of Company business partners, external business partners and/or clients. Acts as a liaison and/or consultant with internal and external business partners on data integrity and/or software tools.

Essential Functions




IND123",4.5,"Ursus
4.5","Rancho Cordova, CA",1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Junior Data Analyst - Redding, CA",Employer Provided Salary:$25 - $35 Per Hour,"Job Opening: Junior Fuels Analyst
Responsible to: Data Analyst, Operations Department
Compensation: Hourly, Commensurate to Skills and Experience
Hours: 40 hours per week, Monday through Friday, 8am to 5pm
Location: Redding, CA or Orange County, CA
Benefits: Two weeks paid vacation. Eight paid holidays. Other benefits accrue over first 3-24 months of employment, including additional paid vacation, 401k, 401k matching, no-cost primary medical care membership or cash equivalent, and quarterly profit sharing.",-1,"Maas Energy Works, Inc","Redding, CA",1 to 50 Employees,-1,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
Data Analyst,$37K - $84K (Glassdoor est.),"Why have a job when you can build a career? We are proud to be defined by the excellent service and convenience offered to our members. There are many reasons to work for MIDFLORIDA, which is probably why we were voted one of Florida Trend's ""Best Places to Work."" MIDFLORIDA offers a positive team culture, an open door management style, stability, competitive benefits, and a career path with a growing, successful company! Join us on our mission to improve the financial well-being of our members!
MIDFLORIDA Credit Union is looking for a data-driven problem solver that can discover, manipulate, and extract information from multiple MSSQL and Oracle data sources. The Data Analyst is responsible for delivering high quality, complex, and timely reports to all business units across the organization to support a wide range of initiatives, including performance improvement activities, compliance, regulatory reporting, and organizational strategies.
As a Data Analyst, you will work with business owners and subject matter experts on data requirements and validation, building queries to extract data with Oracle SQL Developer and Microsoft SQL Server Management Studio, and creating and testing reports using Business Objects Web Intelligence. The Data Analyst will enable management to make sound business decisions informed by accurate and reliable information.",3.7,"MIDFLORIDA Credit Union
3.7","Lakeland, FL",1001 to 5000 Employees,1954,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD)
Data Analyst I,Employer Provided Salary:$22 - $29 Per Hour,"Location: Remote - U.S.
We give you a world of potential
Computershare has a brand-new position available for a Data Analyst I to join our Loan Boarding team based in our Greenwood Village, CO office.
This is a great opportunity for an experienced individual to join a data analytics team focused on the accurate and efficient transfer of mortgage loan data. Our team is looking to improve processes and leverage individual and team skills to further our productivity and success.
This is a role for somebody who is looking to apply and further develop their data analytic skills and problem solving capabilities with a team to help you in this endeavour.",3.2,"Computershare
3.2","Greenwood Village, CO",10000+ Employees,1978,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD)
Data & Market Analyst,Employer Provided Salary:$40K - $55K,"Why Join?
Market research with focus on technology industry - fastest growing market.
Global organisation with international connections.
Key Responsibilities:
Stay up to date with on emerging technologies/industry trends, deliver research deliverable to clients (e.g., market tracking data and forecasts, reports, webcast. etc).
Assist the organization's research agenda and conducting primary research with vendors and industry experts to gain market insights to support clients? decision making.
Presenting research insights clients? regional or global team.",-1,Kingfisher Executive Search,"Portland, OR",-1,-1,-1,-1,-1,-1
Data Analyst,-1,"Summary
At Coco, we’re dedicated to perfecting the last-mile delivery experience. We strongly believe the delivery service industry in its current state is massively under-serving merchants, and we are committed to creating a frictionless, reliable, consistent, and sustainable delivery experience for merchants and their customers in cities everywhere.
As our Data Analyst, you will be responsible for building out data models, collecting and experimenting with datasets, data scraping and recommending specific actions to drive business objectives. We are looking for a Data Analyst to help advance that vision as a dedicated data partner to our Internal stakeholders. You'll help inform their current initiatives and long-term roadmap with data. Will partner with the Executive Team, Sales, Operations, Engineering, etc.",-1,Coco Delivery,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Data Analyst,Employer Provided Salary:$70K - $90K,"Data Analyst
Excel Impact, named one of the nation’s fastest growing companies 3-years running, has a brand new full-time, fully remote, direct-hire Data Analyst opening!
You can be a part of our industry-leading team, who are working to simplify and transform how people navigate the insurance buying process.
Data is at the core of our business, making the Data Analyst a key role at the center of it all. You will bring your data analytics knowledge and expertise to help shape the company's success. You will help us transform our massive data collection to bring powerful insights into our business operations.
We place a high value on creating a talented team, and because of that, we make sure to offer competitive compensation, flexible work hours, generous time-off policy, and an environment of results-oriented self-sufficiency.",5.0,"Excel Impact
5.0",Remote,1 to 50 Employees,2013,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD)
SMS / SRC Data Analyst,$56K - $124K (Glassdoor est.),"Overview

The Safety Management System (SMS) / Safety Regulatory Compliance (SRC) Data Analyst is responsible for interpreting data from the corporate safety and compliance programs, analyzing results using statistical techniques, and providing ongoing reports to management. The SMS / SRC Data Analyst will assist management in the development and implementation of SMS data collection systems, and other strategies that optimize processes and systems used to determine compliance with regulatory and internal requirements, as well as accepted industry best practices

Responsibilities
Assist in maintaining SMS databases
Flight Crew Report database





The Company is an Equal Opportunity Employer. It is our policy to afford equal employment opportunity to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, national origin, citizenship, place of birth, age, disability, protected veteran status, gender identity or any other characteristic or status protected by applicable in accordance with federal, state and local laws.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law document at http://www1.eeoc.gov/employers/poster.cfm.

To view our Pay Transparency Statement, please click here: Pay Transparency Statement",3.5,"Atlas Air, Inc
3.5","New York, NY",1001 to 5000 Employees,2001,Company - Public,Airlines,Travel & Tourism,$1 to $2 billion (USD)
Data Analyst,-1,"Job Title: Data Analyst
Location: Remote
Must Have Skills/Experience:
Strong SQL and scripting skills
Ability to collect, organize, analyze data
Ability to handle Data Modeling discussions
Ability to create source to target mapping
Ability to perform Data Analysis on variety of data sources
Exposure to Data Vault methodology",-1,Intellibee Inc,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Business Analyst,$57K - $118K (Glassdoor est.),"Our data team manages the data transformation and import process for our new customers as they onboard with Payzerware from various other software systems. You will be responsible for analyzing and understanding a customer’s data in their current system and mapping it to the appropriate fields in our database. You will ensure that it is cleansed and loaded accurately into our database, confirming that the user interface functions properly after the data is loaded. You will also identify and manage any customer data issues that occur as a result of the data-load process, and follow them to resolution with our in-house data loading teammates.
The Payzerware Data Business Analysts are:
Able to handle multiple projects simultaneously
Highly proficient in Excel
Tech savvy",4.7,"Payzer
4.7","Charlotte, NC",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Analyst,$49K - $105K (Glassdoor est.),"Company Description

Blend360 is a world class marketing, analytics, and technology company that delivers the best results for our clients. Our primary focus is Data Sciences; leveraging data and applied mathematics to solve our clients’ business challenges. Blend360 is known for our exceptional people, our get-it-done mentality, and delivering high impact and sustainable results. If you love to solve difficult problems and deliver results; if you like to learn new things and apply innovative, state-of-the-art methodology, join us at Blend360.

Job Description

BLEND360 is an award-winning, new breed Data Science Solutions Company focused on powering exceptional results to our Fortune 500 clients. We are a growing company—born at the intersection of advanced analytics, data and technology.",4.7,"Blend360
4.7","Columbia, MD",51 to 200 Employees,2002,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Senior Data Analyst,$62K - $104K (Glassdoor est.),"Company Background
Healthmap Solutions (Healthmap) is an NCQA-accredited industry leading kidney population health management company. Healthmap uses big data resources, integrated advanced technology, clinical expertise, and complex care management to improve the lives of people living with kidney disease. Healthmap also helps healthcare providers and payers achieve the value-based results they need. Our company is a diverse and growing organization committed to our clients, the patients we support, and our employees.
We are champions for better health, for those who need us most.

Responsibilities",2.6,"Healthmap Solutions Inc
2.6","Tampa, FL",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Research Associate I – III (Bioinformatician / NGS Data Analyst),$62K - $104K (Glassdoor est.),"[RA2102] Research Associate I – III (Bioinformatician / NGS Data Analyst)
BS or MS level (Bioinformatician / Next-Gen Sequencing Data Analyst) sought to support product development, services and manufacturing for a rapidly growing biotechnology company.
Founded in 2012, EpiCypher® is Bringing Epigenetics to Life to help researchers find cures for some of the most challenging diseases. To this end we develop cutting edge / unique tools and services for epigenetics and chromatin biology research. This includes fully defined semi-synthetic nucleosomes; EpiDyne®* nucleosome remodeling substrates; the SNAP-ChIP®* platform that is revolutionizing Chromatin ImmunoPrecipitation (Shah et al (2018) Mol Cell [PMID: 30244833]); dCypher®* to dissect epigenetic regulators in their physiological context (Weinburg et al (2019) Nature [PMID: 31485078]); and CUTANA®* (Yusofova et al (2020) []) for genomic insight with increased sensitivity from reduced cell numbers and sequencing depth.",-1,EpiCypher,"Durham, NC",-1,-1,-1,-1,-1,-1
Senior Data Analyst,$62K - $104K (Glassdoor est.),"ALL INTERESTED APPLICANTS MUST SUBMIT RESUME, COVER LETTER WITH SALARY PREFERENCE
Job Title: Senior Data Analyst
DEPARTMENT: Data and Analytics
Who We Are:
Integral, a leading analytical consulting firm serving the nonprofit community. We are a dynamic, innovative, entrepreneurial, client-focused consulting team and we are seeking candidates with the same qualities in addition to a good sense of humor.
ESSENTIAL FUNCTIONS OF THIS JOB:",-1,Integral,"Washington, DC",-1,-1,-1,-1,-1,-1
Senior Data Analyst,$62K - $104K (Glassdoor est.),"For Immediate Consideration: Please apply online to our Senior Data Analyst position at www.creteopenjobs.com.
Schedule: Monday-Friday, 8:00am-5:00pm
Compensation: All Senior Data Analysts start between $85,000-$105,000 per year; starting compensation is based on level of experience.
Company Culture/Principles:
- Safety, first and foremost.
- Say what we mean and mean what we say.",3.5,"Crete Carrier Corporation
3.5","Lincoln, NE",5001 to 10000 Employees,1966,Company - Private,Trucking,Transportation & Logistics,$1 to $2 billion (USD)
Senior Data Analyst,$62K - $104K (Glassdoor est.),"Location: SF Bay Area preferred (remote), will consider West coast
PubNub is a developer API platform for virtual spaces, powering apps that bring people together in real time for remote work, play, learning, and health. Thousands of companies use PubNub as the foundation for online chat, live events, geolocation, remote control, and live updates, all at massive global scale. Our platform delivers trillions of ""messages"" per month, more than twice the number of global monthly Twitter or SMS messages. Admired companies such as Adobe, Atlassian, DocuSign, Peloton, TicketMaster, and RingCentral rely on our tools and global infrastructure to power their services. PubNub has raised over $70M from notable investors like Sapphire, Scale, Relay, Cisco, Bosch, Ericsson, and HPE. PubNub is proud to be an EEO employer.
At PubNub we have a mountain of data.",4.2,"PubNub
4.2","San Francisco, CA",51 to 200 Employees,2011,Company - Private,Internet,Information Technology,$25 to $50 million (USD)
Data Analyst,$62K - $104K (Glassdoor est.),"Works with business partners from various functional areas to build, implement and maintain reporting solutions and performance metrics that support the business needs of operations and corporate teams. Supports enterprise adoption of common, consistent measurements and reporting tools to encourage data-driven decisions.

Responsibilities:
Designs and builds enterprise-wide reporting and data analysis tools with general input and oversight from business users. Ensures reporting is in a useable format to determine trends, issues, or problem areas requiring root cause analysis.
Works with project teams and functional leaders to determine business reporting needs and requirements, develop and maintain appropriate documentation, and conduct data analysis projects to identify opportunities for continuous improvement.
Utilizes reporting tools and software such as Power BI, Excel, SSRS, and various data sources to develop reports that are easily understood by end-users. Provides training and coaching on these tools as necessary.

#RuanCorp",3.4,"Ruan
3.4","Des Moines, IA",1001 to 5000 Employees,1932,Company - Private,Trucking,Transportation & Logistics,$500 million to $1 billion (USD)
Data Analyst,$62K - $104K (Glassdoor est.),"About Driven Brands
Driven Brands (NASDAQ: DRVN), headquartered in Charlotte, NC, is the parent company of some of North America’s leading automotive aftermarket brands including Take 5 Oil Change, Meineke Car Care Centers, Automotive Training Institute, Maaco, CARSTAR, ABRA, Uniban, Car Wash US, FIX Automotive, 1-800-Radiator & A/C and PH Vitres d’Autos. Driven Brands has more than 4,300 centers across 15 countries, and combined, all businesses generate approximately $3.4 billion in system-wide sales and service over 50 million vehicles annually.
Driven Brands is the quintessential growth company, more than tripling its revenues, brands, employees, and profits over the past six years. The primary focuses of the company are growing its franchisee’s profitability, all brands’ unit count and creating opportunities for its employees, franchisees, and investors. Our culture of meritocracy inspires high performance and innovation among our employees. We enable our employees and franchisees to go further, faster— generating growth for our franchisees' businesses and our employees' careers. For more information, visit drivenbrands.com.",-1,Driven Brands / 1-800 Radiator & A/C,"Benicia, CA",-1,-1,-1,-1,-1,-1
Data & Insights Analyst I,$62K - $104K (Glassdoor est.),"The Data & Insights Analyst I is responsible for developing KPIs, creating dashboards, providing analysis, insights, and recommendations for area of expertise. The incumbent will have knowledge in using tools needed for their focus domain area. They will ensure the business understands the effects of a new product/process. The role includes cooperation and coordination with various functions within the company and requires good communication skills.

Primary Responsibilities
Use data to analyze and evaluate, transform data and insights into business recommendations, communicate learnings and recommendations to various audiences of all levels.
Support the build-out of performance reporting dashboards that scales with our global business.",3.6,"MoneyGram
3.6","Dallas, TX",1001 to 5000 Employees,1940,Company - Public,Financial Transaction Processing,Finance,$1 to $2 billion (USD)
